corpus_unit_id,passage_text,plant_name,chemical_name,text,label
570,"In the present study, photosynthetic responses induced by cadmium stress in chlorophyll biosynthesis, photochemical activities, the stability of thylakoid membranes chlorophyll-protein complexes and the chloroplast ultrastructure of the cereal crop Oryza sativa L. were characterized.",Oryza sativa L,chlorophyll-protein,"Relation of Oryza sativa L and chlorophyll-protein on In the present study, photosynthetic responses induced by cadmium stress in chlorophyll biosynthesis, photochemical activities, the stability of thylakoid membranes chlorophyll-protein complexes and the chloroplast ultrastructure of the cereal crop Oryza sativa L. were characterized.",Negative
571,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,anthocyanins,"Relation of Pomegranate and anthocyanins on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
572,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,delphinidin,"Relation of Pomegranate and delphinidin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
573,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,cyanidin,"Relation of Pomegranate and cyanidin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
574,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,pelargonidin,"Relation of Pomegranate and pelargonidin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
575,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,hydrolyzable tannins,"Relation of Pomegranate and hydrolyzable tannins on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
576,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,punicalin,"Relation of Pomegranate and punicalin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
577,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,pedunculagin,"Relation of Pomegranate and pedunculagin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
578,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,punicalagin,"Relation of Pomegranate and punicalagin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
579,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,gallagic,"Relation of Pomegranate and gallagic on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
580,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,ellagic acid esters,"Relation of Pomegranate and ellagic acid esters on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
581,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Pomegranate,glucose,"Relation of Pomegranate and glucose on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
582,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,anthocyanins,"Relation of Punica granatum and anthocyanins on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
583,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,delphinidin,"Relation of Punica granatum and delphinidin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
584,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,cyanidin,"Relation of Punica granatum and cyanidin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
585,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,pelargonidin,"Relation of Punica granatum and pelargonidin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
586,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,hydrolyzable tannins,"Relation of Punica granatum and hydrolyzable tannins on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
587,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,punicalin,"Relation of Punica granatum and punicalin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
588,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,pedunculagin,"Relation of Punica granatum and pedunculagin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
589,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,punicalagin,"Relation of Punica granatum and punicalagin on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
590,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,gallagic,"Relation of Punica granatum and gallagic on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
591,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,ellagic acid esters,"Relation of Punica granatum and ellagic acid esters on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
592,"Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Punica granatum,glucose,"Relation of Punica granatum and glucose on Pomegranate derived from the tree Punica granatum contains anthocyanins (such as delphinidin, cyanidin and pelargonidin) and hydrolyzable tannins (such as punicalin, pedunculagin, punicalagin, gallagic and ellagic acid esters of glucose) and possesses strong antioxidant and anti-inflammatory properties.",Positive
593,"A novel compound, serinol phosphate, was identified in sugarcane (Saccharum officinarum) clone 51NG97.",sugarcane,serinol phosphate,"Relation of sugarcane and serinol phosphate on A novel compound, serinol phosphate, was identified in sugarcane (Saccharum officinarum) clone 51NG97.",Positive
594,"A novel compound, serinol phosphate, was identified in sugarcane (Saccharum officinarum) clone 51NG97.",Saccharum officinarum,serinol phosphate,"Relation of Saccharum officinarum and serinol phosphate on A novel compound, serinol phosphate, was identified in sugarcane (Saccharum officinarum) clone 51NG97.",Positive
595,"Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",Coptis,berberine,"Relation of Coptis and berberine on Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",Positive
596,"Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",Coptis,BER,"Relation of Coptis and BER on Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",Positive
597,"Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",COP,berberine,"Relation of COP and berberine on Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",Positive
598,"Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",COP,BER,"Relation of COP and BER on Coptis extract (COP), a Chinese medicinal herb, and its major constituent, berberine (BER), have anticancer properties.",Positive
599,"We also showed that IL-6-induced AKR1C1/1C2 expression and drug resistance were inhibited by wogonin and chrysin, which are major flavonoids in Scutellaria baicalensis, a widely used traditional Chinese and Japanese medicine.",Scutellaria baicalensis,wogonin,"Relation of Scutellaria baicalensis and wogonin on We also showed that IL-6-induced AKR1C1/1C2 expression and drug resistance were inhibited by wogonin and chrysin, which are major flavonoids in Scutellaria baicalensis, a widely used traditional Chinese and Japanese medicine.",Positive
600,"We also showed that IL-6-induced AKR1C1/1C2 expression and drug resistance were inhibited by wogonin and chrysin, which are major flavonoids in Scutellaria baicalensis, a widely used traditional Chinese and Japanese medicine.",Scutellaria baicalensis,chrysin,"Relation of Scutellaria baicalensis and chrysin on We also showed that IL-6-induced AKR1C1/1C2 expression and drug resistance were inhibited by wogonin and chrysin, which are major flavonoids in Scutellaria baicalensis, a widely used traditional Chinese and Japanese medicine.",Positive
601,The distribution of kainic acid among various red algae was investigated.,algae,kainic acid,Relation of algae and kainic acid on The distribution of kainic acid among various red algae was investigated.,Positive
602,"Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Cedrela odorata,nomilin,"Relation of Cedrela odorata and nomilin on Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Positive
603,"Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Cedrela odorata,obacunol,"Relation of Cedrela odorata and obacunol on Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Positive
604,"Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Cedrela odorata,swietenolide,"Relation of Cedrela odorata and swietenolide on Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Positive
605,"Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Cedrela odorata,limonoids,"Relation of Cedrela odorata and limonoids on Four nomilin/obacunol derivatives and a swietenolide derivative, together with seven known limonoids, were isolated from stem bark of Cedrela odorata and their structures established by spectroscopic methods.",Positive
606,"As a result of all these processes, phosphatidylcholines provided by the soybean lecithin metabolism appear to be key molecules controlling the biodynamic exchanges of lipids.",soybean,phosphatidylcholines,"Relation of soybean and phosphatidylcholines on As a result of all these processes, phosphatidylcholines provided by the soybean lecithin metabolism appear to be key molecules controlling the biodynamic exchanges of lipids.",Positive
607,"As a result of all these processes, phosphatidylcholines provided by the soybean lecithin metabolism appear to be key molecules controlling the biodynamic exchanges of lipids.",soybean,lecithin,"Relation of soybean and lecithin on As a result of all these processes, phosphatidylcholines provided by the soybean lecithin metabolism appear to be key molecules controlling the biodynamic exchanges of lipids.",Positive
608,"beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",magnolia,beta-Eudesmol,"Relation of magnolia and beta-Eudesmol on beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",Positive
609,"beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",magnolia,honokiol,"Relation of magnolia and honokiol on beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",Positive
610,"beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",magnolia,magnolol,"Relation of magnolia and magnolol on beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",Positive
611,"beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",magnolia,bornyl acetate,"Relation of magnolia and bornyl acetate on beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",Positive
612,"beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",magnolia,alpha- and beta-pinenes,"Relation of magnolia and alpha- and beta-pinenes on beta-Eudesmol, honokiol, magnolol, and bornyl acetate, but not alpha- and beta-pinenes, all of which are ingredients of magnolia bark, greatly reduced ACh-evoked secretion.",Negative
613,"The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Byrsonima microphylla,chlorinated diphenyl ether,"Relation of Byrsonima microphylla and chlorinated diphenyl ether on The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Positive
614,"The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Byrsonima microphylla,"methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate","Relation of Byrsonima microphylla and methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate on The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Positive
615,"The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Malpighiaceae,chlorinated diphenyl ether,"Relation of Malpighiaceae and chlorinated diphenyl ether on The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Positive
616,"The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Malpighiaceae,"methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate","Relation of Malpighiaceae and methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate on The isolation is described of an unusual chlorinated diphenyl ether named methyl 3,5-dichloro-6-(6-hydroxy-4-methoxy-3-methoxycarbonyl-2-methylphenoxy)-2-hydroxy-4-methylbenzoate that was obtained from the trunk of Byrsonima microphylla (Malpighiaceae).",Positive
617,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",rice,methane,"Relation of rice and methane on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
618,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",rice,nitrogen,"Relation of rice and nitrogen on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
619,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",rice,ammonium sulfate,"Relation of rice and ammonium sulfate on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
620,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",rice,NH4+-N,"Relation of rice and NH4+-N on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
621,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",rice,potassium nitrate,"Relation of rice and potassium nitrate on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
622,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",rice,NO3(-)-N,"Relation of rice and NO3(-)-N on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
623,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Japonica,methane,"Relation of Japonica and methane on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
624,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Japonica,nitrogen,"Relation of Japonica and nitrogen on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
625,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Japonica,ammonium sulfate,"Relation of Japonica and ammonium sulfate on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
626,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Japonica,NH4+-N,"Relation of Japonica and NH4+-N on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
627,"In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Japonica,potassium nitrate,"Relation of Japonica and potassium nitrate on In this study, methane emission rates were measured after transplanting in paddy fields with application of two kinds of nitrogen fertilizers (ammonium sulfate, NH4+-N and potassium nitrate, NO3(-)-N) and with two kinds of rice varieties (Japonica and Indica).",Negative
